invoice_id,sale_date,customer_id,product_id,store_id,quantity,gross_sales,tax,total_sales,payment_method,rating
INV00001,2024-07-01,C0068,P005,S002,2,13.00,0.65,13.65,Upi,6.70
INV00002,2024-01-25,C0226,P005,S003,3,19.50,0.98,20.48,Cash,9.70
INV00003,2024-09-03,C0145,P008,S003,1,22.00,1.10,23.10,Upi,9.00
INV00004,2024-01-02,C0065,P017,S002,1,20.00,1.00,21.00,Card,7.10
INV00005,2024-07-28,C0016,P011,S001,1,25.00,1.25,26.25,Card,9.20
INV00006,2024-01-25,C0001,P002,S001,2,24.00,1.20,25.20,Upi,9.70
INV00007,2024-07-28,C0003,P009,S001,1,11.50,0.58,12.08,Card,6.30
INV00008,2024-07-31,C0128,P011,S001,3,75.00,3.75,78.75,Cash,5.90
INV00009,2024-09-04,C0075,P017,S003,1,20.00,1.00,21.00,Card,7.20
INV00010,2024-09-07,C0236,P016,S002,3,27.00,1.35,28.35,Card,7.20
INV00011,2024-08-17,C0087,P012,S003,1,18.00,0.90,18.90,Upi,9.80
INV00012,2024-08-22,C0106,P004,S003,3,21.00,1.05,22.05,Upi,6.80
INV00013,2024-04-01,C0143,P005,S002,3,19.50,0.98,20.48,Unknown,7.90
INV00014,2024-07-12,C0008,P013,S002,3,45.00,2.25,47.25,Card,6.50
INV00015,2024-03-10,C0138,P017,S003,1,20.00,1.00,21.00,Upi,9.50
INV00016,2024-09-19,C0065,P015,S002,1,35.00,1.75,36.75,Card,9.70
INV00017,2024-02-11,C0089,P015,S003,1,35.00,1.75,36.75,Card,8.30
INV00018,2024-10-08,C0033,P014,S002,1,12.00,0.60,12.60,Card,9.50
INV00019,2024-04-01,C0191,P001,S002,2,37.00,1.85,38.85,Cash,8.50
INV00020,2024-08-26,C0190,P011,S001,1,25.00,1.25,26.25,Card,6.40
INV00021,2024-10-14,C0140,P009,S003,1,11.50,0.58,12.08,Cash,8.30
INV00022,2024-03-20,C0080,P010,S002,1,5.00,0.25,5.25,Card,5.60
INV00023,2024-02-05,C0208,P003,S001,3,28.50,1.43,29.93,Card,8.50
INV00024,2024-03-11,C0018,P002,S001,2,24.00,1.20,25.20,Upi,5.60
INV00025,2024-03-11,C0116,P006,S003,2,28.00,1.40,29.40,Upi,6.20
INV00026,2024-10-05,C0020,P002,S001,1,12.00,0.60,12.60,Cash,6.90
INV00027,2024-02-08,C0019,P013,S001,1,15.00,0.75,15.75,Card,8.30
INV00028,2024-08-10,C0024,P018,S002,1,32.00,1.60,33.60,Upi,7.00
INV00029,2024-09-12,C0055,P011,S003,3,75.00,3.75,78.75,Upi,7.90
INV00030,2024-02-01,C0114,P008,S002,5,110.00,5.50,115.50,Upi,8.40
INV00031,2024-10-03,C0067,P014,S002,2,24.00,1.20,25.20,Card,9.20
INV00032,2024-04-27,C0098,P001,S001,4,74.00,3.70,77.70,Upi,7.40
INV00033,2024-01-08,C0037,P004,S003,1,7.00,0.35,7.35,Card,8.70
INV00034,2024-12-07,C0015,P006,S003,2,28.00,1.40,29.40,Card,7.00
INV00035,2024-06-04,C0074,P011,S001,2,50.00,2.50,52.50,Card,8.40
INV00036,2024-12-25,C0089,P012,S002,1,18.00,0.90,18.90,Upi,6.10
INV00037,2024-01-02,C0113,P009,S001,5,57.50,2.88,60.38,Cash,6.80
INV00038,2024-10-27,C0093,P012,S003,3,54.00,2.70,56.70,Card,8.30
INV00039,2024-02-21,C0142,P012,S001,3,54.00,2.70,56.70,Card,7.40
INV00040,2024-03-22,C0019,P010,S002,2,10.00,0.50,10.50,Card,8.50
INV00041,2024-11-17,C0073,P001,S001,1,18.50,0.93,19.43,Upi,8.80
INV00042,2024-04-17,C0094,P016,S001,2,18.00,0.90,18.90,Cash,10.00
INV00043,2024-12-18,C0027,P002,S002,1,12.00,0.60,12.60,Card,9.00
INV00044,2024-10-26,C0114,P008,S003,2,44.00,2.20,46.20,Upi,8.40
INV00045,2024-05-22,C0135,P003,S002,1,9.50,0.48,9.98,Cash,7.20
INV00046,2024-06-07,C0017,P018,S002,2,64.00,3.20,67.20,Card,7.30
INV00047,2024-04-16,C0021,P016,S001,2,18.00,0.90,18.90,Card,9.40
